"Protein ID";"m";"stat";"p"
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216225"";""ENSP00000216225"")";53;9,51788139429606;0,1137
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216252"";""ENSP00000216252"")";54;20,2841231921488;0,0538
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216268"";""ENSP00000216268"")";189;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216294"";""ENSP00000216294"")";114;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216336"";""ENSP00000216336"")";26;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216446"";""ENSP00000216446"")";118;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216452"";""ENSP00000216452"")";67;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216468"";""ENSP00000216468"")";148;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216471"";""ENSP00000216471"")";79;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216479"";""ENSP00000216479"")";100;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216484"";""ENSP00000216484"")";291;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216513"";""ENSP00000216513"")";60;15,2228099173554;0,0782
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216540"";""ENSP00000216540"")";133;9;0,2302
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216639"";""ENSP00000216639"")";174;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216832"";""ENSP00000216832"")";69;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216968"";""ENSP00000216968"")";22;6,859410430839;0,1086
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217043"";""ENSP00000217043"")";114;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217133"";""ENSP00000217133"")";73;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217260"";""ENSP00000217260"")";194;76,8516669394542;0,0375
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217270"";""ENSP00000217270"")";173;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217381"";""ENSP00000217381"")";68;8,07076446280992;0,1685
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217386"";""ENSP00000217386"")";44;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217402"";""ENSP00000217402"")";90;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217407"";""ENSP00000217407"")";103;23,0205071405354;0,0871
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217420"";""ENSP00000217420"")";43;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217423"";""ENSP00000217423"")";67;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217428"";""ENSP00000217428"")";51;15,5440778799351;0,0684
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000217740"";""ENSP00000217740"")";104;9,26275992438563;0,1903
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000218721"";""ENSP00000218721"")";51;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000218867"";""ENSP00000218867"")";470;102,551262458467;0,0801
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219022"";""ENSP00000219022"")";73;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219066"";""ENSP00000219066"")";105;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219097"";""ENSP00000219097"")";13;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219162"";""ENSP00000219162"")";96;21,7822222222222;0,0871
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219204"";""ENSP00000219204"")";47;11,6401384083045;0,0847
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219235"";""ENSP00000219235"")";57;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219271"";""ENSP00000219271"")";78;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219299"";""ENSP00000219299"")";180;13,3233363512902;0,2532
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219302"";""ENSP00000219302"")";40;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219368"";""ENSP00000219368"")";239;15,4684202657098;0,2686
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219400"";""ENSP00000219400"")";274;6,9504132231405;0,5082
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000219481"";""ENSP00000219481"")";129;43,69106594704;0,0472
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220478"";""ENSP00000220478"")";123;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220507"";""ENSP00000220507"")";60;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220514"";""ENSP00000220514"")";33;0;1
