"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001836"";""GO:0001836"")";2516;239,066287168171;0,2078
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001837"";""GO:0001837"")";8058;843,033700694064;0,1833
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001843"";""GO:0001843"")";13472;1034,08080171104;0,3214
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001881"";""GO:0001881"")";1455;85,5043137110849;0,3317
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001886"";""GO:0001886"")";3193;364,327632679596;0,1721
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001889"";""GO:0001889"")";12302;989,023717730091;0,2929
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001890"";""GO:0001890"")";4916;920,433651940172;0,0721
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001892"";""GO:0001892"")";2314;275,811357827546;0,1491
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001894"";""GO:0001894"")";4588;347,827789120158;0,2976
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001895"";""GO:0001895"")";4443;149,704964630858;0,6583
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001913"";""GO:0001913"")";1157;42,007784354461;0,4722
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001915"";""GO:0001915"")";1224;37,2812900089515;0,5264
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001916"";""GO:0001916"")";3119;57,3604555149288;0,8202
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001921"";""GO:0001921"")";2424;556,415152733076;0,0572
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001932"";""GO:0001932"")";10685;885,511490332754;0,2851
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001933"";""GO:0001933"")";19727;1357,89626056092;0,4132
