"Pathway ID";"m";"stat";"p"
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6807070"";""R-HSA-6807070"")";22482;4186,27824676337;0,0504
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69202"";""R-HSA-69202"")";9678;1156,1583308282;0,16
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69206"";""R-HSA-69206"")";14647;1548,26646720721;0,207
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69242"";""R-HSA-69242"")";20832;3021,05983919928;0,0891
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69278"";""R-HSA-69278"")";76870;8336,33402166424;0,1498
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69656"";""R-HSA-69656"")";9836;1164,18610860598;0,1564
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-73857"";""R-HSA-73857"")";198695;19544,6490406096;0,1804
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-74160"";""R-HSA-74160"")";221350;21979,854493905;0,1743
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8863795"";""R-HSA-8863795"")";11167;913,486018047464;0,3063
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8876198"";""R-HSA-8876198"")";19680;1532,89955977295;0,3498
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8878166"";""R-HSA-8878166"")";20169;1572,29917948669;0,3462
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8939211"";""R-HSA-8939211"")";33810;3096,05462383866;0,2639
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8941332"";""R-HSA-8941332"")";2526;172,551805727031;0,3196
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8948751"";""R-HSA-8948751"")";9624;2037,73711064279;0,0461
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9006925"";""R-HSA-9006925"")";66734;9162,10757778767;0,0582
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9006931"";""R-HSA-9006931"")";44357;4539,68248043214;0,1984
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9006934"";""R-HSA-9006934"")";124892;13738,5873001212;0,1219
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9007101"";""R-HSA-9007101"")";23822;1768,56862672846;0,3871
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9009391"";""R-HSA-9009391"")";15084;953,560375183336;0,467
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9607240"";""R-HSA-9607240"")";6798;704,030492780143;0,1976
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9614085"";""R-HSA-9614085"")";8384;1379,69824062584;0,0943
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9614399"";""R-HSA-9614399"")";1789;188,56865099755;0,1899
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9634638"";""R-HSA-9634638"")";4875;304,889922226027;0,3917
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1989781"";""R-HSA-1989781"")";23475;3689,99363997094;0,0695
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-381340"";""R-HSA-381340"")";14283;1980,13608548115;0,1214
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-400206"";""R-HSA-400206"")";23888;3726,00361474979;0,0711
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-556833"";""R-HSA-556833"")";125471;13010,6006906136;0,146
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-383280"";""R-HSA-383280"")";13987;1848,33135978584;0,1361
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-71291"";""R-HSA-71291"")";43285;3453,21107251347;0,3731
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8963693"";""R-HSA-8963693"")";2253;91,1780156004012;0,5053
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2172127"";""R-HSA-2172127"")";6816;691,655266820414;0,1965
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-192105"";""R-HSA-192105"")";6282;572,83041700741;0,2461
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-193368"";""R-HSA-193368"")";4314;407,093049079351;0,2258
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-194068"";""R-HSA-194068"")";8228;628,010733512462;0,3318
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2046104"";""R-HSA-2046104"")";1534;82,0233867460413;0,3803
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2046106"";""R-HSA-2046106"")";1534;82,0233867460413;0,3834
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-389887"";""R-HSA-389887"")";1443;77,0939534445664;0,3803
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-390247"";""R-HSA-390247"")";1052;231,302506024462;0,0714
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-390918"";""R-HSA-390918"")";3553;347,339245795415;0,2098
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8957322"";""R-HSA-8957322"")";23636;1951,6398414497;0,3337
